ID,RA,DEC,X,Y,FLUX_AUTO
365,248.9519512,-11.6352512,223.7635,52.6772,13529.42
366,248.8774069,-11.7590681,812.8900,1019.6982,5923.309
367,248.9340789,-11.7575679,375.7792,1014.2611,14220.41
368,248.8662051,-11.6354797,885.1815,44.8097,10069.46
369,248.9375211,-11.6341341,334.9381,42.2358,15210.93
370,248.9093813,-11.6342912,552.0100,40.2893,11232.59
371,248.9470667,-11.6340585,261.3007,42.7253,939.9082
372,248.9357866,-11.7580578,362.6695,1018.3143,1923.015
373,248.9129891,-11.7578891,538.4180,1014.4059,7956.851
374,248.9205854,-11.7559742,479.6298,1000.1780,7675.113
375,248.9624964,-11.7518613,156.0163,972.5371,4649.931
376,248.9106649,-11.7547545,555.9766,989.4496,15411.95
377,248.9746956,-11.7531345,62.1081,983.9622,113446.5
378,248.9764286,-11.7510413,48.5020,967.6707,183571.5
379,248.9785212,-11.7570320,33.0684,1015.1053,55982.58
