source_id,ra,dec
4331223726285872768,248.8757368596366,-11.657015320828839
4331223966804041472,248.84063770004542,-11.657198836623813
4331223210889796864,248.94162619827534,-11.658292119406022
4331204867085030784,248.90546382554075,-11.74891244108918
4331216755553949312,248.87288398245005,-11.716076943457866
4331223210889796736,248.94022162146473,-11.659650729700841
4331222798572909952,248.91566776312783,-11.682237112927416
4331223073450842624,248.90068067911227,-11.65853810293096
4331222764213169408,248.94046183408616,-11.684583484938658
4331209776232011392,248.9776254561851,-11.7494282743014
4331223107811370112,248.90259864413798,-11.658955686282185
4331223691926119552,248.86890588526578,-11.670430545680803
4331223146465279488,248.94731564016055,-11.668667727930641
4331223142170305408,248.9405924149653,-11.671213936220028
4331222970371613184,248.88126642312304,-11.67182147508211
4331223691926118528,248.85310762839526,-11.671898970633636
4331223176530043264,248.96184389821804,-11.671651796589998
4331211425499526400,248.9716950414621,-11.666612913772903
4331216716899183104,248.89175695654924,-11.721328420677018
4331210673880200448,248.9764697647593,-11.720982219220275
4331223176530046848,248.9601855410833,-11.66828284281647
4331210841383926656,248.91898008938614,-11.716856820941816
4331217885130335616,248.84193657484695,-11.669297077911931
4331222970371615872,248.88550679683402,-11.668938917279728
4331211459859267456,248.99389106192208,-11.664668163676467
4331216819978396416,248.84159729134134,-11.723179943430987
4331209814886713984,248.99774714424447,-11.743676337383759
4331223004731353088,248.913299800906,-11.66962686815788
4331216716899180928,248.9004680459369,-11.72409166178915
4331216854338134272,248.8561693874604,-11.724311068971245
4331216785618664448,248.88127687628932,-11.716160888627778
4331210570800986496,248.94048989004267,-11.746843755990751
4331222832932662272,248.92381524795508,-11.669397608073439
4331211459859259392,248.99680375355294,-11.672152349751409
4331216854338135936,248.8471040322547,-11.722721895822476
4331210772664443008,248.93262270910012,-11.724751839928444
4331211051838351872,248.9967069655757,-11.713950690274949
4331223180825013504,248.96521516598915,-11.66059945797983
4331216545100470784,248.8529794791155,-11.748355442973027
4331223726285861376,248.86850554876747,-11.667867502544171
4331223073450832512,248.8929789272092,-11.667588105253891
4331216755553941632,248.87962870087156,-11.721320896303213
4331210738304710016,248.9723620675944,-11.718159241081603
4331211425499522048,248.97083239075076,-11.670346782546282
4331210673881229568,248.9797006854084,-11.721939717868954
4331210669585232896,248.97559605538845,-11.718587505165866
4331223073450832000,248.89731530332293,-11.667592847071397
4331216923057616128,248.84066933455804,-11.71816368523196
4331216854338139264,248.85695928717317,-11.718603850179088
4331210669585231360,248.98625331760633,-11.720468601135304
4331222592414448000,248.90518610673627,-11.717711167297251
4331210497791105792,248.95359424535457,-11.751574356077048
4331223352623717504,248.9668224111494,-11.64307837951065
4331210635225486080,248.97510449964446,-11.730205524813579
4331217885130329728,248.8438074714533,-11.676483938425509
4331223142170297216,248.94971552309505,-11.67935660220723
4331222901652128384,248.892587231592,-11.679154664872174
4331210772664440704,248.93802379657387,-11.729002978926978
4331222936011866240,248.87246295277134,-11.679637340720475
4331216648179698560,248.8661078825937,-11.73174171835768
4331211528578745344,248.98479385715717,-11.663748746650219
4331222764213174272,248.93195182358482,-11.679983027076199
4331217782054816128,248.84441423013283,-11.687688478635168
4331209913670982400,248.99705039063133,-11.727241432403297
4331216682539435392,248.87993369586732,-11.733718082389547
4331222970371608064,248.8904555100122,-11.676403041041798
4331210673880193920,248.99028722182882,-11.719841326368678
4331210673881226624,248.98115777843446,-11.72648908942314
4331210639520455424,248.97475499892715,-11.731570564644095
4331216648179697408,248.85753786017892,-11.733237604188494
4331211459859257600,248.9945743856467,-11.67450460366704
4331223524423266816,248.93479742358923,-11.633368371951986
4331223966804038784,248.8412131087268,-11.659637876966865
4331217786346136320,248.84521162180758,-11.68703201327729
4331211459859258752,248.9931387536097,-11.672705983270633
4331211391139774976,248.95301990113862,-11.679633279310226
4331209883606205312,248.97846806265377,-11.734540744173605
4331209879311238016,248.97758642851645,-11.73492643215548
4331216648179703168,248.86612940959066,-11.72591634667179
4331223691926116224,248.86009430411198,-11.674042849448945
4331216682539441280,248.88811576756953,-11.726145091408908
4331211459859251584,248.99416012409299,-11.680597676326789
4331210536442265216,248.96652250136424,-11.742973639997993
4331209780526980864,248.97399345204306,-11.751837461421372
4331211154917580672,248.99963540254663,-11.694616910815549
4331211356780037888,248.99009884175248,-11.679264346164267
4331223691926115072,248.85451963582426,-11.674761956726428
4331204935804510720,248.8949355598312,-11.743123917953028
4331216682539440256,248.87670595597177,-11.727953605312914
4331216682539441024,248.89001203732948,-11.726847591878249
4331210566506005504,248.9415228075124,-11.734741866322084
4331223176530051584,248.9662427212273,-11.663965732830542
4331222832932658944,248.93498063825325,-11.672225064745032
4331210635225483904,248.96894087487155,-11.733095739140076
